装备信息,,,,,,表示套装在对应职业下的排列顺序，排序越小越靠前,,,,,,,,,,,,,,,,,
装备名称,装备部位,装备 ID,对应套装名称,对应套装 ID,套装数量,鬼泣,狂战士,剑魂,阿修罗,气功师,散打,漫游枪手,枪炮师,元素师,魔道学者,圣骑士,正义审判者,驱魔师,除恶者,蓝拳使者,暗殿骑士,契魔者,流浪武士
,,,,,,0_2_0,0_3_0,0_1_0,0_4_0,1_1_0,1_2_0,2_1_0,2_2_0,3_1_0,3_4_0,14_1_0,14_3_0,14_4_0,14_5_0,11_1_0,11_2_0,11_3_0,11_4_0
混沌：预言者的静夜短裙,下装,2000100313,静夜之预言者套装,59,5,1,,,,1,,,,1,,,,1,,,,,
混沌：预言者的静夜风衣,上衣,2000050312,静夜之预言者套装,59,5,1,,,,1,,,,1,,,,1,,,,,
混沌：预言者的静夜肩甲,头肩,2000150294,静夜之预言者套装,59,5,1,,,,1,,,,1,,,,1,,,,,
混沌：预言者的静夜鞋子,鞋,2000250308,静夜之预言者套装,59,5,1,,,,1,,,,1,,,,1,,,,,
混沌：预言者的静夜腰带,腰带,2000200298,静夜之预言者套装,59,5,1,,,,1,,,,1,,,,1,,,,,
混沌：白日梦想家,上衣,2000050315,艾莉的外出服套装,60,5,2,,,,2,,,,,,,,2,,,,,
混沌：叮当洋装,下装,2000100316,艾莉的外出服套装,60,5,2,,,,2,,,,,,,,2,,,,,
混沌：妙妙毛帽子,头肩,2000150297,艾莉的外出服套装,60,5,2,,,,2,,,,,,,,2,,,,,
混沌：踢踏短靴,鞋,2000250311,艾莉的外出服套装,60,5,2,,,,2,,,,,,,,2,,,,,
混沌：傲娇猫咪,腰带,2000200301,艾莉的外出服套装,60,5,2,,,,2,,,,,,,,2,,,,,
混沌：愤怒魔女的炙焰长袍,上衣,2000050313,愤怒魔女的炙焰战袍套装,61,5,,,,,,,,,2,,,,,,,,,
混沌：愤怒魔女的炙焰长裤,下装,2000100314,愤怒魔女的炙焰战袍套装,61,5,,,,,,,,,2,,,,,,,,,
混沌：愤怒魔女的炙焰斗篷,头肩,2000150295,愤怒魔女的炙焰战袍套装,61,5,,,,,,,,,2,,,,,,,,,
混沌：敏捷魔女的靴子,鞋,2000250309,愤怒魔女的炙焰战袍套装,61,5,,,,,,,,,2,,,,,,,,,
混沌：狡猾魔女的腰带,腰带,2000200299,愤怒魔女的炙焰战袍套装,61,5,,,,,,,,,2,,,,,,,,,
混沌：清辉天女上衣,上衣,2000050314,清辉天女套装,62,5,,,,,,,,,,,,,,,,,,
混沌：清辉天女短裙,下装,2000100315,清辉天女套装,62,5,,,,,,,,,,,,,,,,,,
混沌：清辉天女围巾,头肩,2000150296,清辉天女套装,62,5,,,,,,,,,,,,,,,,,,
混沌：清辉天女短靴,鞋,2000250310,清辉天女套装,62,5,,,,,,,,,,,,,,,,,,
混沌：清辉天女腰带,腰带,2000200300,清辉天女套装,62,5,,,,,,,,,,,,,,,,,,
混沌：潜行者的锋芒夹克,上衣,2000060320,史黛西的潜行服套装,63,5,,,,,,,1,,,1,,,,,,,,1
混沌：潜行者的锋芒肩带,头肩,2000160365,史黛西的潜行服套装,63,5,,,,,,,1,,,1,,,,,,,,1
混沌：潜行者的锋芒腰带,腰带,2000210380,史黛西的潜行服套装,63,5,,,,,,,1,,,1,,,,,,,,1
混沌：潜行者的锋芒长裤,下装,2000110319,史黛西的潜行服套装,63,5,,,,,,,1,,,1,,,,,,,,1
混沌：潜行者的锋芒长靴,鞋,2000260327,史黛西的潜行服套装,63,5,,,,,,,1,,,1,,,,,,,,1
