装备信息,,,,,,表示套装在对应职业下的排列顺序，排序越小越靠前,,,,,,,,,,,,,,
装备名称,装备部位,装备 ID,对应套装名称,对应套装 ID,套装数量,鬼泣,狂战士,剑魂,阿修罗,气功师,散打,漫游枪手,枪炮师,元素师,魔道学者,圣骑士,驭剑士,暗殿骑士,契魔者,流浪武士
,,,,,,0_2_0,0_3_0,0_1_0,0_4_0,1_1_0,1_2_0,2_1_0,2_2_0,3_1_0,3_4_0,14_1_0,11_1_0,11_2_0,11_3_0,11_4_0
银月少女上衣,上衣,2000050060,少女套装,1,5,,,,,,,,,,,,,,,
银月少女短裙,下装,2000100060,少女套装,1,5,,,,,,,,,,,,,,,
银月少女围巾,头肩,2000150052,少女套装,1,5,,,,,,,,,,,,,,,
银月少女腰带,腰带,2000200052,少女套装,1,5,,,,,,,,,,,,,,,
银月少女长靴,鞋子,2000250056,少女套装,1,5,,,,,,,,,,,,,,,
天翎逐月长袍,上衣,2000050061,天翎逐月战袍,2,5,,,,,,,,,,,,,,,
天翎逐月长裤,下装,2000100061,天翎逐月战袍,2,5,,,,,,,,,,,,,,,
天翎逐月护肩,头肩,2000150053,天翎逐月战袍,2,5,,,,,,,,,,,,,,,
天翎逐月腰带,腰带,2000200053,天翎逐月战袍,2,5,,,,,,,,,,,,,,,
天翎逐月长靴,鞋子,2000250057,天翎逐月战袍,2,5,,,,,,,,,,,,,,,
光之颂歌上衣,上衣,1900050000,光之颂歌,3,5,,,,,,,,,,,,,,,
光之颂歌下装,下装,1900100000,光之颂歌,3,5,,,,,,,,,,,,,,,
光之颂歌护肩,头肩,1900150000,光之颂歌,3,5,,,,,,,,,,,,,,,
光之颂歌腰带,腰带,1900200000,光之颂歌,3,5,,,,,,,,,,,,,,,
光之颂歌鞋子,鞋子,1900250000,光之颂歌,3,5,,,,,,,,,,,,,,,
灵思者的火龙胸甲,上衣,2000060062,灵思者的火龙皮甲,4,5,,,,,,,,,,,,,,,
灵思者的火龙护腿,下装,2000110062,灵思者的火龙皮甲,4,5,,,,,,,,,,,,,,,
灵思者的火龙肩甲,头肩,2000160055,灵思者的火龙皮甲,4,5,,,,,,,,,,,,,,,
灵思者的火龙腰带,腰带,2000210055,灵思者的火龙皮甲,4,5,,,,,,,,,,,,,,,
灵思者的火龙长靴,鞋子,2000260059,灵思者的火龙皮甲,4,5,,,,,,,,,,,,,,,
奥德丽的蛟龙胸甲,上衣,2000060061,奥德丽的战服,5,5,,,,,,,,,,,,,,,
奥德丽的蛟龙短裤,下装,2000110061,奥德丽的战服,5,5,,,,,,,,,,,,,,,
奥德丽的蛟龙肩甲,头肩,2000160054,奥德丽的战服,5,5,,,,,,,,,,,,,,,
奥德丽的蛟龙弹夹,腰带,2000210054,奥德丽的战服,5,5,,,,,,,,,,,,,,,
奥德丽的蛟龙长靴,鞋子,2000260058,奥德丽的战服,5,5,,,,,,,,,,,,,,,
